Rate,Building Type,City,Cost Point Selector,Battery Capacity (kWh),Battery Power (kW),BAU Demand Cost,BAU Energy Cost,Capital Cost ($),Max Demand Rate ($/kW),Npv ($),PV Size (kW),Total Demand Savings ($),Total kWh Savings ($)
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,Secondary School,Atlanta,1,196 kWh,54 kW,1069300,1691890,$182K,$15.66,$0M,316 kW,144168,215800
GS-2_(S)_Large_General_Service_Secondary,Supermarket,Fairbanks,1,740 kWh,104 kW,412645,3272480,$535K,$11.06,$0M,956 kW,134911,1273480
BES-Small_Load_Delivery_Class_(Secondary),Small Office,Chicago,1,0 kWh,0 kW,13858.4,52498.7,$3K,$6.18,$0M,6 kW,521.7,4338.5
Schedule_MDB-_Medium_Standard_General_Service_Burien,Medium Office,Seattle,1,0 kWh,0 kW,60768.6,542370,$0K,$2.32,$0M,0 kW,0,0
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_B_(under_2_kV),Restaurant,Anaheim,1,191 kWh,29 kW,165389,242996,$85K,$38.02,$0M,125 kW,81224.9,132493
BES-Medium_Load_Delivery_Class_(Secondary),Primary School,Chicago,1,0 kWh,0 kW,181001,636797,$39K,$6.29,$0M,89 kW,9953,65893
A-10_Medium_General_Demand_Service_(Secondary_Voltage),Small Office,San Francisco,1,84 kWh,11 kW,27798.1,99276,$34K,$16.78,$0M,49 kW,19123.91,73600
GSDT-1_(General_Service_Demand_-Time-Of-Use),Warehouse,Miami,1,24 kWh,8 kW,62506.2,90616.5,$16K,$9.20,$0M,22 kW,13947.7,14333.5
GSEDS-1_Primary_Demand,Warehouse,Helena,1,4 kWh,2 kW,53491.5,175060,$27K,$7.90,$0M,58 kW,7594.3,46452
Time_of_Use_General_Service_Demand_Metered_Option_R_GS-2_TOU_R_-_Single_phase,Warehouse,Anaheim,1,89 kWh,15 kW,47659.1,195487,$54K,$9.97,$0M,90 kW,22577.3,136490.8
LGS-2_Large_General_Service-_Secondary_Distribution_Voltage,Supermarket,LasVegas,1,1 kWh,1 kW,379646,994666,$181K,$16.49,$0M,405 kW,42152,336340
Primary_Service_A-2_Rate(B)_Time-Of-Use_(TOU),Secondary School,Los Angeles,1,"1,953 kWh",295 kW,1293310,2270750,$913K,$17.48,$1M,"1,381 kW",900214,1556082
Schedule_MDE-_Medium_Standard_General_Service_SeaTac,Restaurant,Seattle,1,0 kWh,0 kW,12731.1,203699,$0K,$2.32,$0M,0 kW,0,0
Schedule_G_-_Secondary,Primary School,Baltimore,1,0 kWh,0 kW,0,1173900,$158K,$0.00,$0M,354 kW,0,401075
GSDT-1_(General_Service_Demand_-Time-Of-Use),Midrise Apartment,Miami,1,16 kWh,6 kW,95891.9,191041,$8K,$9.20,$0M,8 kW,7722.6,5639
E-19_Medium_General_Demand_TOU_(Secondary_Voluntary),Medium Office,San Francisco,1,910 kWh,132 kW,608513,742490,$345K,$34.72,$0M,469 kW,426898,554930
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_A_(Under_2kV),Outpatient,Anaheim,1,696 kWh,117 kW,619829,1250480,$387K,$17.81,$0M,617 kW,294588,804348
SECONDARY_GENERAL_SERVICE_-_SCHEDULE_SG,Small Office,Boulder,1,11 kWh,3 kW,37523.2,27280,$5K,$18.90,$0M,7 kW,6891.3,3150.8
Schedule_G_-_Secondary,Strip Mall,Baltimore,1,0 kWh,0 kW,0,549816,$84K,$0.00,$0M,188 kW,0,234915
Schedule_G_-_Secondary,Fast Food,Baltimore,1,0 kWh,0 kW,0,210090,$22K,$0.00,$0M,50 kW,0,63963
Time-of-use_-_General_Service_-_Demand_Metered-Super_Off_Peak_TOU-GS-3-SOP_(2kv-50kv),Supermarket,Anaheim,1,943 kWh,152 kW,910780,1154970,$487K,$36.38,$0M,761 kW,475227,699280
LGS-1_-_Large_General_Service,Warehouse,LasVegas,1,14 kWh,8 kW,59926.1,127138,$35K,$8.57,$0M,67 kW,17380.3,51823.6
E-32_STANDARD_PRICE_PLAN_FOR_TIME-OF-USE_GENERAL_SERVICE,Outpatient,Phoenix,1,586 kWh,109 kW,261789,1231210,$366K,$6.65,$0M,598 kW,125712,668674
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_A_(Under_2_kV),Hospital,Anaheim,1,"3,579 kWh",543 kW,2333560,7805370,"$1,953K",$15.57,$2M,"3,156 kW",928920,4895370
A-10_Medium_General_Demand_Service_TOU_(Secondary_Voltage),Supermarket,San Francisco,1,"1,889 kWh",231 kW,471299,2348400,$706K,$16.78,$1M,995 kW,296584,1724096
