Rate,Building Type,City,Cost Point Selector,Battery Capacity (kWh),Battery Power (kW),BAU Demand Cost,BAU Energy Cost,Capital Cost ($),Max Demand Rate ($/kW),Npv ($),PV Size (kW),Total Demand Savings ($),Total kWh Savings ($)
Time_of_Use_General_Service_Demand_Metered_Option_A_GS-2_TOU_A_Single_Phase,Strip Mall,Anaheim,1,60 kWh,18 kW,174729,502358,$128K,$13.20,$0M,190 kW,59783,298901
Time_of_Use_General_Service_Demand_Metered_Option_R_GS-2_TOU_R_-_Single_phase,Strip Mall,Anaheim,1,38 kWh,10 kW,131973,558941,$119K,$9.97,$0M,191 kW,37501.8,324306
Power_and_Light_Large_Schedule_PLL-11,Secondary School,Atlanta,1,0 kWh,0 kW,0,1436580,$0K,$0.00,$0M,0 kW,0,0
E-36_Standard_Price_Plan_for_General_Service,Large Hotel,Phoenix,1,0 kWh,0 kW,306233,1795800,$192K,$6.76,$0M,350 kW,183,350400
Schedule_GL_(Secondary_Voltage),Secondary School,Baltimore,1,0 kWh,0 kW,549392,1999390,$164K,$6.15,$0M,299 kW,47749,272510
GSEDS-1_Secondary_Non-Demand,Secondary School,Helena,1,0 kWh,0 kW,0,2456510,$369K,$0.00,$0M,670 kW,0,774110
Time_of_Use_General_Service_Demand_Metered_Option_A_GS-2_TOU_A_Single_Phase,Small Office,Anaheim,1,12 kWh,4 kW,31633.6,89013.7,$25K,$13.20,$0M,36 kW,11020.1,52490.3
LGS-3_Large_General_Service_(Secondary_Distribution_Voltage),Secondary School,LasVegas,1,0 kWh,0 kW,1141940,1510290,$206K,$16.30,$0M,375 kW,120520,282230
A-10_Medium_General_Demand_Service_(Secondary_Voltage),Medium Office,San Francisco,1,78 kWh,30 kW,290061,1001760,$190K,$16.78,$0M,282 kW,80920,438290
A-6_Small_General_Service_TOU_Single_Phase,Supermarket,San Francisco,1,635 kWh,102 kW,0,3914570,$615K,$0.00,$1M,771 kW,0,2404420
Schedule_MDB-_Medium_Standard_General_Service_Burien,Retail Store,Seattle,1,0 kWh,0 kW,25852.3,281470,$0K,$2.32,$0M,0 kW,0,0
GSEDS-1_Secondary_Demand,Large Hotel,Helena,1,0 kWh,0 kW,454264,1592660,$149K,$9.41,$0M,270 kW,1249,260490
GS-2_(S)_Large_General_Service_Secondary,Fast Food,Fairbanks,1,0 kWh,0 kW,32908.5,293718,$26K,$11.06,$0M,47 kW,1438.4,66989
