midpoint_data
Rate,Measure Names,Max Demand Rate ($/kW),Measure Values
Schedule_MDC_-_Medium_Standard_General_Service_City,Demand Charge Savings ($),$2.32,0
Schedule_MDB-_Medium_Standard_General_Service_Burien,Demand Charge Savings ($),$2.32,0
Schedule_LGD_-_Large_Network_General_Service_(Transformer_Investment_Discount),Demand Charge Savings ($),$3.83,0
Schedule_LGC_-_Large_Standard_General_Service_City,Demand Charge Savings ($),$2.08,0
Schedule_GS_Type_2_(Secondary),Demand Charge Savings ($),$0.00,0
Schedule_GL_(Secondary_Voltage),Demand Charge Savings ($),$6.15,11602.375
Schedule_G_-_Secondary,Demand Charge Savings ($),$0.00,0
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],Demand Charge Savings ($),$41.95,380493.96875
SC-9_-_General_Large_TOD_Service_[NYC],Demand Charge Savings ($),$54.31,2426245
SC-9_-_General_Large_Low_Tension_Service_[NYC],Demand Charge Savings ($),$21.82,0
Primary_Service_A-2_Rate(B)_Time-Of-Use_(TOU),Demand Charge Savings ($),$17.48,177028.086666667
Power_and_Light_Medium_Schedule_PLM-11,Demand Charge Savings ($),$0.00,0
